CMD, D, D, D, D, TLAST, TKEEP, TIME_NS
DATA:1, -1.952997595e-01, 8.239845037e-01, 6.027545929e-01, 1.027361393e+00, 0, -1, 3987.2
DATA:1, -2.052922398e-01, 9.296259880e-01, 7.693695426e-01, 9.645811319e-01, 0, -1, 3993.6
DATA:1, -1.526530981e-01, 9.880011678e-01, 3.378501534e-01, 8.412014246e-01, 0, -1, 4000
DATA:1, -1.557629406e-01, 1.036192536e+00, -2.039885521e-01, 7.008951306e-01, 0, -1, 4006.4
DATA:1, -2.454875708e-01, 1.083047986e+00, 2.448424995e-01, 5.025659800e-01, 0, -1, 4009.6
DATA:1, -2.887277007e-01, 1.072164059e+00, -5.023226142e-03, 2.742938101e-01, 0, -1, 4016
DATA:1, -3.560021818e-01, 1.038327456e+00, 8.403590918e-01, 4.506199062e-02, 0, -1, 4022.4
DATA:1, -3.978297710e-01, 1.022068381e+00, 1.407194138e+00, -2.096267194e-01, 0, -1, 4028.8
DATA:1, -3.808429837e-01, 9.880666733e-01, 1.445935726e+00, -4.275982976e-01, 0, -1, 4032
DATA:1, -5.313924551e-01, 9.747357965e-01, 2.348530293e+00, -6.062026024e-01, 0, -1, 4038.4
DATA:1, -6.107625961e-01, 9.402199984e-01, 2.290543079e+00, -7.635852098e-01, 0, -1, 4044.8
DATA:1, -7.536363602e-01, 8.878921866e-01, 2.072558880e+00, -8.470706940e-01, 0, -1, 4051.2
DATA:1, -8.067241311e-01, 8.086542487e-01, 2.499150515e+00, -8.922517300e-01, 0, -1, 4054.4
DATA:1, -7.170937061e-01, 6.897395849e-01, 2.398552418e+00, -8.865329623e-01, 0, -1, 4060.8
DATA:1, -7.276121378e-01, 6.190565228e-01, 2.589699268e+00, -7.976403236e-01, 0, -1, 4067.2
DATA:1, -7.331701517e-01, 5.334306955e-01, 2.742588043e+00, -6.767047644e-01, 0, -1, 4073.6
DATA:1, -6.871174574e-01, 4.238568544e-01, 2.988101006e+00, -5.003004074e-01, 0, -1, 4076.8
DATA:1, -8.123731613e-01, 3.154560626e-01, 3.280488491e+00, -2.761124074e-01, 0, -1, 4083.2
DATA:1, -8.140615225e-01, 1.627148986e-01, 2.805528879e+00, -5.324026197e-02, 0, -1, 4089.6
DATA:1, -7.738521099e-01, 4.177798703e-02, 2.619976997e+00, 1.802815050e-01, 0, -1, 4096
DATA:1, -7.780523300e-01, -3.530821577e-02, 2.604982853e+00, 4.153695703e-01, 0, -1, 4099.2
DATA:1, -6.532204747e-01, -1.434551477e-01, 1.858133554e+00, 6.153107882e-01, 0, -1, 4105.6
DATA:1, -6.526112556e-01, -2.888403535e-01, 2.508594990e+00, 7.933475971e-01, 0, -1, 4112
DATA:1, -6.052556634e-01, -4.009063244e-01, 2.921333790e+00, 9.265952110e-01, 0, -1, 4118.4
DATA:1, -5.822834969e-01, -5.077058077e-01, 2.292211771e+00, 9.970934391e-01, 0, -1, 4121.6
DATA:1, -6.200151443e-01, -6.140961647e-01, 2.890070200e+00, 1.000919461e+00, 0, -1, 4128
DATA:1, -5.785067081e-01, -6.538558006e-01, 2.231271982e+00, 9.551211596e-01, 0, -1, 4134.4
DATA:1, -5.322370529e-01, -7.589186430e-01, 1.727690697e+00, 8.512169123e-01, 0, -1, 4140.8
DATA:1, -5.636488199e-01, -7.988622189e-01, 1.599900603e+00, 6.899102330e-01, 0, -1, 4144
DATA:1, -5.494586229e-01, -8.479241133e-01, 1.341631174e+00, 4.984212220e-01, 0, -1, 4150.4
DATA:1, -5.317130685e-01, -8.526228070e-01, 1.385195255e+00, 2.609562874e-01, 0, -1, 4156.8
DATA:1, -4.755042791e-01, -8.473782539e-01, 1.394448638e+00, 2.275998890e-02, 0, -1, 4163.2
DATA:1, -4.633409381e-01, -8.839476109e-01, 1.010708809e+00, -2.082240880e-01, 0, -1, 4166.4
DATA:1, -4.298444688e-01, -8.550626040e-01, 8.088144660e-01, -4.373111129e-01, 0, -1, 4172.8
DATA:1, -3.205388188e-01, -8.649299145e-01, 7.312872410e-01, -6.212310791e-01, 0, -1, 4179.2
DATA:1, -3.690249920e-01, -8.187374473e-01, 7.222952247e-01, -7.854449749e-01, 0, -1, 4185.6
DATA:1, -3.188319206e-01, -7.483360767e-01, 9.014574885e-01, -8.916496038e-01, 0, -1, 4188.8
DATA:1, -2.743738294e-01, -6.564424038e-01, 9.499682188e-01, -9.222698212e-01, 0, -1, 4195.2
DATA:1, -2.300699502e-01, -5.213732123e-01, 1.095340610e+00, -9.107502103e-01, 0, -1, 4201.6
DATA:1, -1.030994356e-01, -4.199292064e-01, 1.272989631e+00, -8.116768003e-01, 0, -1, 4208
DATA:1, -8.598328568e-03, -3.054929972e-01, 1.254176855e+00, -6.741265655e-01, 0, -1, 4211.2
DATA:1, 1.447316706e-01, -1.925518364e-01, 8.662540913e-01, -5.027788877e-01, 0, -1, 4217.6
DATA:1, 1.938949972e-01, -8.312980831e-02, 9.294677973e-01, -2.719827890e-01, 0, -1, 4224
DATA:1, 1.885497272e-01, 5.875095353e-02, 1.189981818e+00, -4.799684882e-02, 0, -1, 4230.4
DATA:1, 3.247081041e-01, 1.816070527e-01, 1.358329654e+00, 1.809572577e-01, 0, -1, 4233.6
DATA:1, 3.286851645e-01, 3.426740170e-01, 1.768723011e+00, 4.126828909e-01, 0, -1, 4240
DATA:1, 4.493212700e-01, 4.590668678e-01, 1.704330683e+00, 6.021934152e-01, 0, -1, 4246.4
DATA:1, 5.990064144e-01, 6.021486521e-01, 1.753685832e+00, 7.740849257e-01, 0, -1, 4252.8
DATA:1, 6.139621735e-01, 6.985866427e-01, 2.295513868e+00, 9.138798714e-01, 0, -1, 4256
DATA:1, 6.344655752e-01, 7.635191083e-01, 2.449949741e+00, 9.989401102e-01, 0, -1, 4262.4
DATA:1, 5.831879377e-01, 8.706669807e-01, 2.517890692e+00, 1.015013576e+00, 0, -1, 4268.8
DATA:1, 6.196668744e-01, 9.437838793e-01, 2.335157633e+00, 9.620440006e-01, 0, -1, 4275.2
DATA:1, 6.814858913e-01, 1.060291409e+00, 2.602204323e+00, 8.375895023e-01, 0, -1, 4278.4
DATA:1, 7.883644104e-01, 1.119812965e+00, 2.831107378e+00, 6.786020398e-01, 0, -1, 4284.8
DATA:1, 9.438570738e-01, 1.154823422e+00, 2.650461197e+00, 4.716878831e-01, 0, -1, 4291.2
DATA:1, 9.533774853e-01, 1.187893271e+00, 2.320801258e+00, 2.570835948e-01, 0, -1, 4297.6
DATA:1, 1.041298985e+00, 1.143096805e+00, 2.197740078e+00, 3.739657253e-02, 0, -1, 4300.8
DATA:1, 1.138988972e+00, 1.133439898e+00, 2.116012573e+00, -2.039198279e-01, 0, -1, 4307.2
DATA:1, 1.136261821e+00, 1.109391451e+00, 2.668828726e+00, -4.050126672e-01, 0, -1, 4313.6
DATA:1, 1.175552845e+00, 1.040406227e+00, 2.982220411e+00, -6.047514677e-01, 0, -1, 4320
DATA:1, 1.190312743e+00, 9.775868058e-01, 2.862015724e+00, -7.658188343e-01, 0, -1, 4323.2
DATA:1, 1.153253436e+00, 9.290513992e-01, 2.514284134e+00, -8.530068398e-01, 0, -1, 4329.6
DATA:1, 1.110094666e+00, 8.079112172e-01, 2.186620235e+00, -8.946596384e-01, 0, -1, 4336
DATA:1, 1.182838202e+00, 7.476571798e-01, 2.033653736e+00, -8.666713238e-01, 0, -1, 4342.4
DATA:1, 1.172323346e+00, 6.816298366e-01, 1.915635109e+00, -7.869052887e-01, 0, -1, 4345.6
DATA:1, 1.253374338e+00, 5.598847866e-01, 1.307775259e+00, -6.677057147e-01, 0, -1, 4352
DATA:1, 1.264057875e+00, 4.897488952e-01, 7.552111149e-01, -5.067888498e-01, 0, -1, 4358.4
DATA:1, 1.182669044e+00, 3.358368874e-01, 3.674160242e-01, -2.873412371e-01, 0, -1, 4364.8
DATA:1, 1.180884838e+00, 1.904016584e-01, -2.878321111e-01, -5.010901392e-02, 0, -1, 4368
DATA:1, 1.169350743e+00, 7.679597288e-02, -2.818040550e-01, 2.036224008e-01, 0, -1, 4374.4
DATA:1, 1.280411720e+00, -4.320560396e-02, -1.621777117e-01, 4.358587861e-01, 0, -1, 4380.8
DATA:1, 1.300544858e+00, -1.494132876e-01, 1.587943733e-02, 6.220383644e-01, 0, -1, 4387.2
DATA:1, 1.322875142e+00, -2.370098233e-01, 5.999885201e-01, 7.898616195e-01, 0, -1, 4390.4
DATA:1, 1.245620728e+00, -3.658383787e-01, 7.581318617e-01, 9.103635550e-01, 0, -1, 4396.8
DATA:1, 1.128336072e+00, -5.218412876e-01, 1.445094585e+00, 9.981095195e-01, 0, -1, 4403.2
DATA:1, 1.098671794e+00, -6.248452067e-01, 1.586051702e+00, 1.025434732e+00, 0, -1, 4409.6
DATA:1, 1.043223381e+00, -7.249377370e-01, 1.294764996e+00, 9.824225307e-01, 0, -1, 4412.8
DATA:1, 1.087527037e+00, -8.200383782e-01, 1.512938499e+00, 8.706812859e-01, 0, -1, 4419.2
DATA:1, 1.056774378e+00, -8.702404499e-01, 1.399561167e+00, 6.958931684e-01, 0, -1, 4425.6
DATA:1, 1.044187546e+00, -8.967400193e-01, 1.424838781e+00, 4.869875908e-01, 0, -1, 4432
DATA:1, 1.055914164e+00, -9.286493063e-01, 1.851086736e+00, 2.504743636e-01, 0, -1, 4435.2
DATA:1, 9.552034140e-01, -8.743822575e-01, 2.000258923e+00, -3.363393247e-03, 0, -1, 4441.6
DATA:1, 9.284386635e-01, -8.267832994e-01, 2.307472467e+00, -2.347704470e-01, 0, -1, 4448
DATA:1, 9.440332055e-01, -8.176341057e-01, 2.506217480e+00, -4.496704638e-01, 0, -1, 4454.4
DATA:1, 7.902348042e-01, -7.656189799e-01, 2.319502115e+00, -6.447278261e-01, 0, -1, 4457.6
DATA:1, 7.974685431e-01, -7.713477612e-01, 2.958340406e+00, -7.714110613e-01, 0, -1, 4464
DATA:1, 7.896912694e-01, -7.069822550e-01, 2.304594755e+00, -8.714427948e-01, 0, -1, 4470.4
DATA:1, 6.719229221e-01, -5.877411366e-01, 2.040569305e+00, -9.143140316e-01, 0, -1, 4476.8
DATA:1, 7.018598318e-01, -4.879580140e-01, 1.946935654e+00, -8.897045851e-01, 0, -1, 4480
